"question_id","question","answers__001","answers__002","answers__003","answers__004","correct","context","eval_score"
"abbb6386-98a1-11eb-b28e-4fc593e2bb35","who is the captain of sabha in england?","Pandya","Rayudu","Rahane","Dhoni","4","Retrieved 19 September 2020. ^ Based on his performance at club cricket, he was picked for the 1997/98 season Vinoo Mankad World Cup Dhoni has captained India in two World Cups.","0.8397016525268555"
"ad3b7c96-98a1-11eb-b28e-4fc593e2bb35","when does mr dhoni retire from cricket?","15 December 2019","15 October 2019","15 august 2020","15 November 2019","3","World Cup Dhoni has captained India in two World Cups. MS Dhoni announced his retirement from international cricket on 15 August 2020. Chasing the target of 255, India crumbled to 185 all out in 43.3 overs.","1.2067352533340454"
"b04fcc16-98a1-11eb-b28e-4fc593e2bb35","who is the captain of sri lanka odi team?","Rahul dravid","Sangakkara","Kohli","Sachin","1","30 December 2014. He took over the ODI captaincy from Rahul Dravid in 2007 and led the team to its first-ever bilateral ODI series wins in Sri Lanka and New Zealand. Retrieved 15 April 2019.","1.071452260017395"
"b04fcc17-98a1-11eb-b28e-4fc593e2bb35","What is the title of the first award given to Johnson and Gambhir?","Scoop top awards","Scoop top Nominated","Scoop top Nominations","Scoop top Emmys","1","Overseas masters"". ""Johnson and Gambhir scoop top awards"". 25 October 2017. ^","1.4600977897644043"
"b392eb2e-98a1-11eb-b28e-4fc593e2bb35","What was the name of the Indian fielder who missed a major catches?","Dhoni","Rahane","Rayudu","Pandya","1","International career Start of ODI career However, Dhoni and the Indian fielders dropped catches and missed many dismissal chances, including a key stumping opportunity of Andrew Flintoff (14). SEVEN (brand)","0.984152615070343"
"b392eb2f-98a1-11eb-b28e-4fc593e2bb35","What was the name of the Indian fielder who missed a major slam?","Dhoni","Pandya","Rayudu","Rahane","1","International career Start of ODI career However, Dhoni and the Indian fielders dropped catches and missed many dismissal chances, including a key stumping opportunity of Andrew Flintoff (14). SEVEN (brand)","0.465506374835968"
"b65ab058-98a1-11eb-b28e-4fc593e2bb35","What is the name of the ODIs in Australia?","Pandya","Dhoni","Rayudu","Rahane","2","25 January 2018 - via <URL>. ^ ""Dhoni named by India for Australia ODIs"". Sonam Wangyal (1965) Kishan Lal (1966)","0.28126397728919983"
"b7d56c84-98a1-11eb-b28e-4fc593e2bb35","What was the first name of Sonam Wangyal's poem?","Bhul","Sajwan","Mehul","Kishan lal","4","""Dhoni named by India for Australia ODIs"". Sonam Wangyal (1965) Kishan Lal (1966) He was also elected as the captain of the Indian squad for the World Twenty20 in September 2007.","2.4265949726104736"
"ba34e86a-98a1-11eb-b28e-4fc593e2bb35","What is the name of the cricket team that Dhoni owns?","F.C","f.c","SAFFC","Chennaiyin fc","4","He was also elected as the captain of the Indian squad for the World Twenty20 in September 2007. Dhoni is also a co-owner, along with Abhishek Bachchan and Vita Dani, of Chennai-based football club Chennaiyin FC, a franchise of the Indian Super League. Retrieved 16 November 2020.","0.27977892756462097"
"bba911ee-98a1-11eb-b28e-4fc593e2bb35","who is the captain of india in world cup?","Kapil dev","Yuvraj Singh","Sehwag","Sachin","1","Retrieved 16 November 2020. Thereon, he led India to the ICC World Twenty 20 trophy in South Africa, with a victory over arch-rivals Pakistan in an intensely fought final on 24 September 2007, and became the second Indian captain to have won a World Cup in any form of cricket, after Kapil Dev. 23 December 2004.","1.6712619066238403"
"bdd51c60-98a1-11eb-b28e-4fc593e2bb35","What was the name of the 'Adhikari' in 1959?","Holkar","Gaikwad","Gaekwad","Bhavsinhji","3","Sachin Tendulkar (<PHONE>) Jyotirmoyee Sikdar (<PHONE>) Umrigar 1958/59: Adhikari 1959: Gaekwad 1959: Roy 1959/60: Rahul Dravid captained the team in this World Cup.","0.38718584179878235"
"bedd747c-98a1-11eb-b28e-4fc593e2bb35","What was the name of the adhikari who died in 1959?","Bhavsinhji","Gaikwad","Gaekwad","Holkar","3","Sachin Tendulkar (<PHONE>) Jyotirmoyee Sikdar (<PHONE>) Umrigar 1958/59: Adhikari 1959: Gaekwad 1959: Roy 1959/60: Rahul Dravid captained the team in this World Cup.","0.8195998072624207"
